[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-25-06-32-43-604116-doksuri-350
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [telemetry_node-1]: process started with pid [352]
[INFO] [offboard_node-2]: process started with pid [354]
[offboard_node-2] [WARN] [1784961164.156551442] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.218293510] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.318246183] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.418276210] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.518242827] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.618204908] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.718179581] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.818224609] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784961164.918232542] [offboard_node]: /mavros/cmd/arming 서비스 없음
