t,n,e
5.796,0.000,0.000
5.996,0.000,0.000
6.204,0.000,0.000
6.404,0.000,0.000
6.604,0.000,0.001
6.804,0.000,0.001
7.012,-0.000,0.001
7.212,-0.002,-0.001
7.412,-0.007,-0.004
7.612,-0.010,-0.008
7.812,-0.011,-0.011
8.012,-0.014,-0.010
8.220,-0.020,-0.006
8.428,-0.021,-0.002
8.636,-0.019,0.001
8.836,-0.016,0.004
9.044,-0.014,0.006
9.252,-0.012,0.006
9.460,-0.014,0.004
9.668,-0.015,0.004
9.868,-0.018,0.003
10.076,-0.023,-0.000
10.280,-0.025,-0.003
10.484,-0.023,-0.004
10.696,-0.021,-0.005
10.900,-0.017,-0.005
11.108,-0.016,-0.003
11.316,-0.016,-0.000
11.524,-0.014,0.001
11.724,-0.011,0.003
11.932,-0.009,0.005
12.140,-0.008,0.007
12.348,-0.006,0.009
12.552,-0.005,0.011
12.756,-0.002,0.013
12.964,-0.000,0.012
13.172,-0.000,0.010
13.380,-0.003,0.007
13.588,-0.007,0.006
13.788,-0.009,0.005
13.996,-0.011,0.006
14.204,-0.013,0.007
14.412,-0.016,0.006
14.616,-0.016,0.004
14.820,-0.015,0.002
15.028,-0.015,-0.000
15.236,-0.015,-0.004
15.444,-0.013,-0.007
15.652,-0.008,-0.010
15.852,-0.003,-0.012
16.060,0.003,-0.012
16.260,0.008,-0.011
16.468,0.013,-0.012
16.676,0.014,-0.014
16.876,0.013,-0.015
17.084,0.011,-0.014
17.292,0.010,-0.011
17.500,0.010,-0.004
17.708,0.009,0.003
17.908,0.007,0.009
18.116,0.006,0.011
18.324,0.005,0.009
18.532,0.003,0.004
18.740,0.001,-0.003
18.940,0.001,-0.010
19.148,0.001,-0.015
19.356,0.002,-0.017
19.564,0.002,-0.017
19.772,0.000,-0.016
19.972,-0.004,-0.017
20.180,-0.007,-0.018
20.388,-0.009,-0.018
20.596,-0.009,-0.019
20.804,-0.011,-0.022
21.004,-0.017,-0.026
21.212,-0.024,-0.027
21.420,-0.029,-0.026
21.628,-0.030,-0.024
21.836,-0.031,-0.023
22.036,-0.032,-0.021
22.244,-0.033,-0.017
22.452,-0.035,-0.012
22.660,-0.035,-0.008
22.868,-0.036,-0.006
23.068,-0.037,-0.005
23.280,-0.035,-0.005
23.484,-0.033,-0.005
23.692,-0.031,-0.006
23.900,-0.030,-0.008
24.100,-0.030,-0.010
24.308,-0.031,-0.015
24.516,-0.030,-0.018
24.716,-0.027,-0.019
24.924,-0.024,-0.020
25.132,-0.022,-0.017
25.340,-0.022,-0.013
25.548,-0.022,-0.009
25.748,-0.021,-0.006
25.956,-0.018,-0.004
26.164,-0.016,-0.001
26.368,-0.015,0.004
26.568,-0.017,0.008
26.776,-0.019,0.013
26.988,-0.019,0.017
27.192,-0.022,0.018
27.400,-0.023,0.018
27.600,-0.024,0.019
27.808,-0.026,0.017
28.016,-0.027,0.014
28.216,-0.025,0.009
28.424,-0.023,0.003
28.628,-0.021,0.001
28.836,-0.020,0.004
29.036,-0.020,0.004
29.244,-0.022,0.002
29.452,-0.027,-0.001
29.660,-0.034,-0.004
29.868,-0.036,-0.006
30.068,-0.036,-0.006
30.276,-0.037,-0.007
30.484,-0.036,-0.006
30.692,-0.033,-0.002
30.900,-0.033,0.005
31.100,-0.034,0.012
31.308,-0.033,0.014
31.516,-0.033,0.015
31.716,-0.034,0.016
31.924,-0.037,0.016
32.124,-0.039,0.016
32.332,-0.039,0.013
32.540,-0.035,0.010
32.740,-0.030,0.007
32.948,-0.024,0.005
33.148,-0.017,0.006
33.356,-0.012,0.006
33.560,-0.010,0.006
33.768,-0.009,0.006
33.968,-0.010,0.007
34.176,-0.013,0.008
34.384,-0.017,0.006
34.584,-0.022,0.004
34.792,-0.030,0.002
35.000,-0.038,-0.002
35.200,-0.043,-0.005
35.408,-0.045,-0.007
35.616,-0.044,-0.008
35.816,-0.041,-0.009
36.024,-0.037,-0.011
36.232,-0.034,-0.014
36.432,-0.032,-0.014
36.640,-0.028,-0.012
36.840,-0.024,-0.009
37.048,-0.021,-0.007
37.256,-0.020,-0.004
37.456,-0.018,-0.002
37.664,-0.012,0.003
37.872,-0.007,0.007
38.072,-0.004,0.013
38.280,-0.003,0.017
38.488,-0.003,0.019
38.688,-0.005,0.019
38.892,-0.006,0.016
39.096,-0.007,0.015
39.296,-0.006,0.013
39.496,-0.004,0.010
39.704,-0.005,0.007
39.904,-0.005,0.003
40.112,-0.007,-0.001
40.320,-0.011,-0.004
40.520,-0.014,-0.005
40.728,-0.012,-0.006
40.936,-0.009,-0.008
41.136,-0.008,-0.009
41.344,-0.007,-0.007
41.552,-0.008,-0.005
41.752,-0.010,-0.004
41.960,-0.013,-0.004
42.168,-0.014,-0.002
42.368,-0.013,0.001
42.576,-0.010,0.004
42.776,-0.010,0.008
42.984,-0.012,0.008
43.192,-0.016,0.005
43.392,-0.019,0.004
43.600,-0.018,0.004
43.808,-0.018,0.006
44.008,-0.016,0.005
44.216,-0.014,0.002
44.424,-0.014,-0.003
44.624,-0.016,-0.008
44.832,-0.016,-0.008
45.040,-0.017,-0.009
45.240,-0.019,-0.009
45.448,-0.018,-0.009
45.648,-0.015,-0.008
45.856,-0.010,-0.005
46.064,-0.006,-0.003
46.264,-0.006,-0.002
46.472,-0.010,-0.003
46.680,-0.014,-0.003
46.880,-0.016,-0.003
47.088,-0.019,-0.001
47.296,-0.021,0.002
47.496,-0.025,0.005
47.704,-0.030,0.006
47.904,-0.033,0.007
48.112,-0.034,0.008
48.320,-0.031,0.003
48.520,-0.029,-0.003
48.728,-0.028,-0.008
48.936,-0.027,-0.011
49.136,-0.027,-0.012
49.344,-0.028,-0.013
49.552,-0.029,-0.012
49.752,-0.029,-0.012
49.960,-0.030,-0.013
50.168,-0.029,-0.014
50.368,-0.025,-0.013
50.576,-0.021,-0.014
50.776,-0.019,-0.013
50.980,-0.019,-0.013
51.184,-0.016,-0.012
51.384,-0.011,-0.011
51.584,-0.006,-0.011
51.792,-0.001,-0.009
52.000,0.005,-0.006
52.200,0.006,-0.003
52.408,0.005,0.001
52.616,0.005,0.004
52.816,-0.000,0.006
53.024,-0.008,0.006
53.232,-0.014,0.005
53.432,-0.018,0.005
53.636,-0.020,0.007
53.840,-0.020,0.009
54.048,-0.020,0.010
54.256,-0.021,0.009
54.456,-0.023,0.010
54.660,-0.025,0.011
54.860,-0.028,0.011
55.060,-0.032,0.012
55.268,-0.035,0.012
55.468,-0.035,0.012
55.676,-0.032,0.011
55.884,-0.024,0.006
56.084,-0.017,-0.002
56.288,-0.013,-0.010
56.488,-0.011,-0.017
56.688,-0.011,-0.021
56.892,-0.013,-0.020
57.096,-0.017,-0.016
57.296,-0.019,-0.013
57.496,-0.021,-0.011
57.700,-0.020,-0.011
57.908,-0.018,-0.012
58.112,-0.018,-0.016
58.316,-0.017,-0.020
58.524,-0.016,-0.023
58.732,-0.014,-0.024
58.932,-0.015,-0.023
59.140,-0.017,-0.022
59.340,-0.017,-0.020
59.548,-0.017,-0.018
59.756,-0.014,-0.015
59.956,-0.012,-0.011
60.164,-0.011,-0.005
60.372,-0.013,0.001
60.572,-0.015,0.006
60.776,-0.018,0.008
60.984,-0.021,0.009
61.192,-0.024,0.009
61.392,-0.023,0.009
61.600,-0.021,0.008
61.808,-0.019,0.006
62.008,-0.016,0.005
62.216,-0.014,0.006
62.424,-0.014,0.006
62.624,-0.016,0.008
