t,n,e
5.848,0.000,0.000
6.048,0.000,0.000
6.248,0.000,0.000
6.448,0.000,0.000
6.656,0.001,0.000
6.856,0.001,0.000
7.056,0.001,0.000
7.256,0.001,0.001
7.456,-0.000,0.002
7.664,-0.002,0.004
7.864,-0.004,0.009
8.064,-0.008,0.011
8.272,-0.013,0.008
8.480,-0.019,0.001
8.688,-0.023,-0.007
8.896,-0.023,-0.014
9.104,-0.022,-0.017
9.304,-0.018,-0.020
9.512,-0.012,-0.023
9.720,-0.006,-0.025
9.928,-0.002,-0.026
10.136,-0.003,-0.022
10.336,-0.007,-0.017
10.544,-0.012,-0.012
10.752,-0.011,-0.008
10.960,-0.009,-0.006
11.168,-0.007,-0.006
11.368,-0.008,-0.007
11.576,-0.007,-0.008
11.784,-0.007,-0.006
11.992,-0.007,-0.001
12.200,-0.008,0.004
12.400,-0.006,0.010
12.608,-0.003,0.015
12.816,0.001,0.018
13.024,0.009,0.020
13.224,0.020,0.021
13.432,0.029,0.023
13.640,0.036,0.023
13.848,0.039,0.023
14.056,0.041,0.023
14.256,0.042,0.019
14.464,0.042,0.014
14.672,0.042,0.009
14.880,0.041,0.004
15.088,0.040,-0.001
15.288,0.037,-0.006
15.496,0.033,-0.012
15.704,0.027,-0.016
15.912,0.022,-0.017
16.120,0.018,-0.019
16.328,0.015,-0.022
16.536,0.011,-0.024
16.744,0.006,-0.028
16.952,0.000,-0.031
17.160,-0.004,-0.033
17.368,-0.005,-0.033
17.568,-0.004,-0.032
17.776,-0.006,-0.031
17.984,-0.010,-0.028
18.192,-0.016,-0.025
18.400,-0.023,-0.020
18.600,-0.032,-0.015
18.808,-0.041,-0.013
19.016,-0.047,-0.011
19.216,-0.049,-0.012
19.420,-0.050,-0.014
19.628,-0.052,-0.015
19.836,-0.054,-0.013
20.036,-0.053,-0.015
20.244,-0.050,-0.018
20.448,-0.045,-0.020
20.652,-0.040,-0.021
20.860,-0.035,-0.018
21.068,-0.030,-0.013
21.276,-0.025,-0.009
21.484,-0.019,-0.007
21.692,-0.016,-0.008
21.900,-0.016,-0.009
22.100,-0.017,-0.011
22.308,-0.017,-0.012
22.516,-0.018,-0.012
22.716,-0.019,-0.013
22.924,-0.018,-0.011
23.132,-0.017,-0.008
23.340,-0.016,-0.007
23.548,-0.017,-0.007
23.748,-0.020,-0.004
23.956,-0.023,0.001
24.164,-0.023,0.008
24.372,-0.024,0.013
24.580,-0.025,0.015
24.780,-0.027,0.016
24.988,-0.028,0.019
25.196,-0.027,0.022
25.404,-0.023,0.026
25.608,-0.020,0.030
25.820,-0.019,0.031
26.024,-0.018,0.029
26.232,-0.019,0.028
26.440,-0.023,0.026
26.648,-0.030,0.022
26.856,-0.037,0.017
27.064,-0.040,0.013
27.272,-0.042,0.008
27.472,-0.042,0.006
27.680,-0.039,0.004
27.888,-0.035,0.003
28.096,-0.030,0.000
28.304,-0.027,-0.001
28.504,-0.026,0.000
28.712,-0.027,0.001
28.920,-0.027,-0.002
29.128,-0.028,-0.005
29.336,-0.031,-0.008
29.536,-0.035,-0.012
29.740,-0.035,-0.016
29.940,-0.035,-0.018
30.148,-0.034,-0.018
30.360,-0.031,-0.016
30.564,-0.026,-0.012
30.772,-0.020,-0.008
30.972,-0.015,-0.008
31.180,-0.009,-0.009
31.388,-0.004,-0.013
31.596,-0.002,-0.016
31.804,-0.001,-0.019
32.012,0.001,-0.023
32.212,0.004,-0.026
32.416,0.009,-0.026
32.616,0.014,-0.026
32.816,0.018,-0.028
33.024,0.020,-0.031
33.232,0.019,-0.032
33.436,0.019,-0.031
33.640,0.019,-0.029
33.840,0.019,-0.027
34.048,0.020,-0.026
34.256,0.021,-0.025
34.456,0.024,-0.025
34.664,0.028,-0.025
34.872,0.029,-0.027
35.072,0.029,-0.029
35.280,0.024,-0.028
35.488,0.018,-0.027
35.692,0.011,-0.029
35.896,0.007,-0.030
36.104,0.004,-0.031
36.304,0.003,-0.028
36.512,0.004,-0.023
36.712,0.006,-0.016
36.920,0.007,-0.011
37.128,0.005,-0.007
37.328,0.004,-0.006
37.536,0.003,-0.006
37.744,0.001,-0.008
37.944,0.001,-0.011
38.152,0.000,-0.014
38.360,-0.002,-0.013
38.560,-0.005,-0.011
38.768,-0.007,-0.008
38.968,-0.009,-0.005
39.176,-0.010,-0.002
39.384,-0.011,-0.002
39.584,-0.011,-0.004
39.792,-0.011,-0.006
40.000,-0.010,-0.006
40.200,-0.009,-0.005
40.408,-0.006,-0.005
40.616,-0.004,-0.007
40.816,-0.003,-0.011
41.024,-0.001,-0.012
41.232,-0.001,-0.014
41.432,-0.002,-0.016
41.640,-0.004,-0.019
41.840,-0.007,-0.020
42.044,-0.010,-0.020
42.244,-0.012,-0.018
42.444,-0.014,-0.015
42.652,-0.015,-0.012
42.860,-0.015,-0.007
43.060,-0.012,-0.003
43.268,-0.008,0.003
43.468,-0.006,0.007
43.676,-0.006,0.010
43.884,-0.005,0.011
44.084,-0.006,0.010
44.292,-0.008,0.007
44.500,-0.011,0.002
44.700,-0.016,-0.004
44.908,-0.022,-0.008
45.116,-0.025,-0.009
45.320,-0.027,-0.009
45.524,-0.026,-0.010
45.732,-0.025,-0.011
45.932,-0.025,-0.013
46.140,-0.023,-0.015
46.340,-0.019,-0.018
46.548,-0.016,-0.021
46.756,-0.013,-0.024
46.956,-0.012,-0.023
47.164,-0.009,-0.022
47.372,-0.006,-0.021
47.572,-0.007,-0.018
