t,n,e
5.808,-0.000,0.001
6.008,-0.000,0.001
6.208,-0.000,0.001
6.408,-0.000,0.000
6.616,-0.000,0.000
6.816,-0.000,0.000
7.016,0.000,0.000
7.216,0.000,0.000
7.416,-0.001,-0.000
7.624,-0.005,0.000
7.824,-0.014,-0.001
8.032,-0.021,-0.001
8.240,-0.021,-0.002
8.448,-0.017,-0.000
8.656,-0.014,0.002
8.864,-0.015,0.002
9.072,-0.019,-0.001
9.272,-0.023,-0.002
9.480,-0.029,0.000
9.688,-0.033,0.005
9.896,-0.037,0.010
10.104,-0.036,0.013
10.304,-0.032,0.014
10.512,-0.028,0.012
10.720,-0.023,0.007
10.932,-0.014,-0.001
11.136,-0.005,-0.010
11.336,-0.003,-0.020
11.540,-0.005,-0.026
11.744,-0.009,-0.026
11.944,-0.012,-0.020
12.152,-0.012,-0.012
12.352,-0.009,-0.001
12.560,-0.004,0.009
12.768,0.003,0.015
12.976,0.011,0.019
13.184,0.016,0.017
13.384,0.022,0.014
13.592,0.028,0.012
13.800,0.034,0.010
14.008,0.040,0.012
14.208,0.044,0.015
14.416,0.044,0.015
14.624,0.039,0.014
14.832,0.032,0.013
15.040,0.025,0.013
15.240,0.020,0.015
15.448,0.016,0.016
15.656,0.014,0.016
15.864,0.019,0.015
16.072,0.025,0.014
16.280,0.031,0.015
16.488,0.037,0.015
16.696,0.042,0.014
16.904,0.044,0.012
17.116,0.044,0.010
17.320,0.042,0.008
17.528,0.040,0.006
17.728,0.039,0.004
17.936,0.041,0.007
18.144,0.043,0.010
18.344,0.042,0.014
18.552,0.039,0.017
18.760,0.038,0.020
18.968,0.038,0.021
19.176,0.037,0.023
19.376,0.037,0.025
19.588,0.038,0.025
19.792,0.039,0.025
19.996,0.040,0.030
20.200,0.039,0.034
20.408,0.039,0.036
20.620,0.038,0.037
20.824,0.037,0.036
21.032,0.037,0.034
21.240,0.039,0.032
21.440,0.038,0.030
21.644,0.037,0.031
21.844,0.037,0.032
22.052,0.039,0.032
22.256,0.044,0.030
22.460,0.050,0.027
22.668,0.053,0.025
22.876,0.053,0.023
23.084,0.049,0.020
23.292,0.042,0.017
23.500,0.035,0.013
23.708,0.028,0.007
23.912,0.022,0.002
24.120,0.020,-0.001
24.328,0.022,-0.005
24.536,0.026,-0.006
24.744,0.030,-0.005
24.952,0.034,-0.004
25.160,0.038,-0.005
25.368,0.041,-0.003
25.572,0.045,-0.003
25.776,0.049,-0.006
25.984,0.052,-0.009
26.192,0.054,-0.012
26.400,0.056,-0.013
26.600,0.055,-0.012
26.808,0.052,-0.013
27.016,0.047,-0.014
27.216,0.044,-0.014
27.424,0.042,-0.017
27.632,0.040,-0.022
27.840,0.038,-0.028
28.048,0.035,-0.031
28.248,0.030,-0.032
28.452,0.024,-0.032
28.664,0.017,-0.031
28.868,0.010,-0.030
29.068,-0.001,-0.030
29.276,-0.013,-0.030
29.484,-0.022,-0.030
29.692,-0.026,-0.028
29.900,-0.026,-0.024
30.100,-0.024,-0.021
30.308,-0.023,-0.017
30.520,-0.021,-0.015
30.724,-0.017,-0.012
30.932,-0.015,-0.009
31.132,-0.011,-0.007
31.340,-0.006,-0.004
31.548,-0.002,-0.003
31.748,-0.003,-0.001
31.956,-0.008,-0.000
32.164,-0.014,-0.001
32.372,-0.019,-0.004
32.572,-0.022,-0.006
32.780,-0.023,-0.008
32.988,-0.023,-0.009
33.188,-0.022,-0.009
33.392,-0.022,-0.006
33.600,-0.021,0.000
33.808,-0.020,0.006
34.008,-0.018,0.010
34.216,-0.017,0.010
34.424,-0.015,0.008
34.624,-0.012,0.005
34.832,-0.009,0.004
35.040,-0.006,0.004
35.240,-0.006,0.007
35.448,-0.006,0.009
35.648,-0.005,0.007
35.856,-0.002,0.006
36.064,0.006,0.008
36.264,0.015,0.013
36.472,0.022,0.016
36.680,0.026,0.018
36.880,0.029,0.017
37.088,0.029,0.016
37.296,0.030,0.013
37.496,0.031,0.012
37.704,0.032,0.012
37.904,0.034,0.012
38.112,0.036,0.013
38.320,0.035,0.012
38.520,0.033,0.007
38.728,0.033,0.002
38.936,0.034,-0.001
39.136,0.034,-0.005
39.344,0.035,-0.009
39.552,0.036,-0.011
39.752,0.035,-0.010
39.960,0.032,-0.008
40.168,0.027,-0.005
40.368,0.023,-0.002
40.576,0.019,-0.001
40.776,0.015,0.001
40.984,0.010,0.003
41.192,0.007,0.003
41.396,0.007,0.001
41.600,0.009,-0.004
41.808,0.009,-0.008
42.008,0.011,-0.010
42.216,0.014,-0.010
42.424,0.016,-0.010
42.624,0.015,-0.012
42.832,0.015,-0.014
43.040,0.014,-0.016
43.240,0.012,-0.019
43.448,0.009,-0.023
43.648,0.007,-0.024
43.856,0.007,-0.025
44.060,0.009,-0.025
44.268,0.010,-0.022
44.468,0.009,-0.017
44.676,0.006,-0.010
44.880,0.004,-0.007
45.084,0.003,-0.004
45.292,0.002,-0.001
45.500,-0.004,0.003
45.700,-0.010,0.004
45.908,-0.017,0.005
46.116,-0.021,0.005
46.316,-0.019,0.005
46.524,-0.018,0.006
46.732,-0.016,0.007
46.932,-0.014,0.009
47.140,-0.012,0.012
47.340,-0.009,0.015
47.548,-0.005,0.016
47.756,-0.000,0.016
47.956,0.002,0.012
48.164,0.002,0.007
48.372,0.002,0.007
48.572,0.001,0.008
48.780,-0.001,0.012
48.988,-0.003,0.016
49.188,-0.004,0.019
49.396,-0.004,0.021
49.604,-0.002,0.020
49.804,-0.001,0.017
