t,n,e
5.896,-0.000,-0.000
6.096,-0.000,-0.001
6.296,-0.000,-0.000
6.496,-0.000,-0.000
6.704,0.000,0.001
6.908,0.001,0.001
7.116,0.001,0.002
7.316,-0.000,0.002
7.516,-0.002,0.001
7.716,-0.001,-0.003
7.916,-0.000,-0.005
8.124,0.003,-0.007
8.332,0.008,-0.009
8.540,0.014,-0.012
8.740,0.020,-0.015
8.948,0.026,-0.017
9.156,0.030,-0.017
9.364,0.032,-0.019
9.572,0.033,-0.022
9.772,0.034,-0.021
9.980,0.037,-0.018
10.188,0.039,-0.014
10.396,0.040,-0.013
10.604,0.038,-0.011
10.804,0.034,-0.012
11.012,0.030,-0.013
11.220,0.027,-0.016
11.428,0.025,-0.024
11.636,0.025,-0.031
11.836,0.022,-0.034
12.044,0.019,-0.036
12.252,0.014,-0.039
12.460,0.011,-0.042
12.668,0.010,-0.044
12.868,0.007,-0.048
13.076,0.005,-0.051
13.284,0.003,-0.052
13.492,0.000,-0.052
13.696,-0.002,-0.052
13.900,-0.002,-0.048
14.108,-0.001,-0.039
14.316,-0.001,-0.033
14.524,-0.003,-0.029
14.724,-0.007,-0.029
14.936,-0.010,-0.029
15.140,-0.014,-0.031
15.348,-0.015,-0.029
15.556,-0.013,-0.025
15.756,-0.011,-0.019
15.964,-0.009,-0.012
16.164,-0.010,-0.008
16.372,-0.012,-0.006
16.580,-0.013,-0.004
16.780,-0.015,-0.005
16.988,-0.020,-0.007
17.196,-0.021,-0.007
17.404,-0.016,-0.006
17.612,-0.005,-0.008
17.812,0.005,-0.012
18.020,0.013,-0.012
18.228,0.020,-0.008
18.432,0.025,-0.005
18.636,0.029,-0.001
18.844,0.031,0.003
19.052,0.031,0.006
19.256,0.030,0.006
19.464,0.029,0.009
19.668,0.026,0.011
19.872,0.023,0.010
20.080,0.023,0.010
20.280,0.025,0.010
20.484,0.029,0.010
20.688,0.034,0.010
20.888,0.037,0.009
21.096,0.041,0.009
21.304,0.045,0.009
21.504,0.046,0.008
21.712,0.046,0.007
21.920,0.046,0.007
22.132,0.044,0.008
22.336,0.039,0.009
22.536,0.035,0.008
22.740,0.033,0.004
22.940,0.032,-0.001
23.148,0.032,-0.007
23.356,0.031,-0.013
23.564,0.030,-0.020
23.772,0.030,-0.025
23.972,0.029,-0.027
24.180,0.027,-0.026
24.384,0.027,-0.023
24.588,0.029,-0.019
24.796,0.030,-0.014
25.004,0.029,-0.011
25.212,0.029,-0.007
25.416,0.031,-0.006
25.624,0.033,-0.010
25.828,0.034,-0.012
26.032,0.035,-0.014
26.240,0.035,-0.012
26.440,0.033,-0.007
26.648,0.032,-0.003
26.856,0.032,-0.001
27.064,0.032,-0.000
27.272,0.030,-0.000
27.472,0.029,-0.000
27.680,0.024,-0.000
27.888,0.020,0.000
