[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-21-11-23-56-573021-doksuri-552
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [telemetry_node-1]: process started with pid [554]
[INFO] [offboard_node-2]: process started with pid [556]
[offboard_node-2] [WARN] [1784633037.126082130] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.185371872] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.285386485] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.385372005] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.485310950] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.585298099] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.685250674] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.785297343] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.885261066] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633037.985331050] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.085317923] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.185305982] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.285265726] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.385275322] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.485308419] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.585273348] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.685238833] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.785334301] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633038.885272377] [offboard_node]: /mavros/cmd/arming 서비스 없음
[telemetry_node-1] [INFO] [1784633038.980768850] [telemetry_node]: pos_ned=[0. 0. 0.]  yaw=0.000  armed=False  vtol=0
[offboard_node-2] [WARN] [1784633038.984955543] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.085236738] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.185252855] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.285308621] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.385248051] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.485286558] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.585275582] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.685272569] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.785438337] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.885304526] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633039.985078176] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.085402188] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.185308731] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.285309480] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.385304728] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.485306755] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.585302318] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.685276529] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.785308667] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633040.885294212] [offboard_node]: /mavros/cmd/arming 서비스 없음
[telemetry_node-1] [INFO] [1784633040.945922997] [telemetry_node]: pos_ned=[0. 0. 0.]  yaw=0.000  armed=False  vtol=0
[offboard_node-2] [WARN] [1784633040.985369036] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.085308248] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.185309370] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.285263397] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.385282871] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.485269436] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.585290650] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.685280716] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.785404894] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.885283143] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633041.985295727] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.085290683] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.185285251] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.285278726] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.385266553] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.485289176] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.585248614] [offboard_node]: /mavros/cmd/arming 서비스 없음
[offboard_node-2] [WARN] [1784633042.685282756] [offboard_node]: /mavros/cmd/arming 서비스 없음
