t,n,e
5.836,0.000,-0.000
6.044,0.000,-0.000
6.244,0.000,0.000
6.444,0.000,0.000
6.644,0.001,0.000
6.844,0.001,-0.000
7.052,0.001,0.000
7.252,0.000,0.001
7.452,-0.003,0.001
7.652,-0.009,-0.000
7.852,-0.011,0.000
8.060,-0.006,0.000
8.268,0.003,-0.001
8.476,0.013,-0.001
8.684,0.020,-0.003
8.884,0.024,-0.005
9.092,0.024,-0.012
9.300,0.024,-0.022
9.508,0.025,-0.034
9.708,0.027,-0.043
9.912,0.024,-0.048
10.120,0.017,-0.049
10.320,0.010,-0.048
10.528,0.007,-0.047
10.736,0.005,-0.044
10.944,0.002,-0.039
11.152,-0.003,-0.035
11.352,-0.009,-0.030
11.560,-0.012,-0.026
11.768,-0.013,-0.019
11.976,-0.010,-0.013
12.180,-0.006,-0.007
12.384,-0.005,-0.003
12.592,-0.008,-0.000
12.800,-0.011,0.002
13.008,-0.015,0.003
13.212,-0.017,0.002
13.412,-0.015,-0.001
13.620,-0.015,-0.004
13.824,-0.018,-0.009
14.032,-0.019,-0.015
14.244,-0.019,-0.022
14.448,-0.016,-0.026
14.656,-0.011,-0.027
14.864,-0.005,-0.025
15.072,-0.001,-0.024
15.272,0.002,-0.023
15.480,0.008,-0.023
15.688,0.012,-0.023
15.892,0.015,-0.022
16.100,0.018,-0.020
16.308,0.016,-0.018
16.520,0.013,-0.014
16.728,0.011,-0.012
16.936,0.009,-0.010
17.144,0.009,-0.011
17.348,0.010,-0.011
17.556,0.012,-0.012
17.764,0.013,-0.013
17.972,0.012,-0.013
18.180,0.007,-0.011
18.392,0.001,-0.010
18.596,-0.003,-0.009
18.804,-0.003,-0.010
19.004,-0.001,-0.011
19.208,0.001,-0.012
19.412,0.003,-0.012
19.620,0.003,-0.015
19.828,0.001,-0.017
20.036,0.000,-0.018
20.244,-0.001,-0.016
20.452,-0.002,-0.013
20.660,-0.003,-0.012
20.868,-0.003,-0.011
21.068,-0.002,-0.011
21.276,-0.001,-0.009
21.484,0.003,-0.007
